* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2019-11-19 13:59:31 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\20191108_AG_10.eds
* Experiment Name = 20191108_AG_10
* Experiment Run End Time = 2019-11-08 13:26:01 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	PRFLOW	NOISE	HIGHSD	SPIKE	NOAMP
80	G8	false	W 2 MC 3	C	UNKNOWN	VIC	NFQ-MGB	26.405	26.259	0.206								false	0.010	true	3	26	Amp		N	N	N	N	N	N
80	G8	false	W 2 MC 3	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
81	G9	false	W 2 MC 4	C	UNKNOWN	VIC	NFQ-MGB	23.785	24.205	0.593								false	0.010	true	3	22	Amp		N	N	N	Y	N	N
81	G9	false	W 2 MC 4	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
82	G10	false	W 2 MC 5	C	UNKNOWN	VIC	NFQ-MGB	23.831	23.831									false	0.010	true	3	23	Amp		N	N	N	N	N	N
82	G10	false	W 2 MC 5	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
83	G11	false	+	C	UNKNOWN	VIC	NFQ-MGB	21.048	20.643	0.573								false	0.010	true	3	20	Amp		N	N	N	Y	N	N
83	G11	false	+	D	UNKNOWN	FAM	NFQ-MGB	18.347	17.747	0.848								false	0.010	true	3	18	Amp		N	N	N	Y	N	N
84	G12	false	NCT	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
84	G12	false	NCT	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
86	H2	false	W 1 MC 2	C	UNKNOWN	VIC	NFQ-MGB	25.105	24.432	0.952								false	0.010	true	3	24	Amp		N	N	N	Y	N	N
86	H2	false	W 1 MC 2	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
87	H3	false	W 1 MC 3	C	UNKNOWN	VIC	NFQ-MGB	24.575	24.627	0.072								false	0.010	true	3	23	Amp		N	N	N	N	N	N
